Province,Pollutant,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
YT,CO,16388.9072934819,16613.6233436757,17048.3255016447,16764.0617194149,15696.2225886876,16032.1365789214,14087.658814479,13076.9844962035,12764.1840622072,14205.044418089094,12404.74751351926,11502.645960079857,10994.659182101337,9318.430426670508,7486.125755341351,9604.566658831836,8697.48412543173,8191.765052852394,7766.289891734776,8016.298299123345,7934.959474564818,7298.657042220863,6544.809806527933,6246.598110499068,5200.277347350095,5161.2975268193595,5436.366668301276,5525.5823380722495,6408.802734804739,7347.644072748858,5759.987762688198
YT,SOX,639.175474748534,893.987093460193,1000.44067839402,1343.23492259781,1113.28445398863,1006.0604998648,837.906130402894,1060.37396361576,981.662856398831,881.6827219718652,486.4351735638413,475.00212283859116,1316.6655672378333,1069.7494422065843,1067.5953058912553,1291.935144905394,1482.1509227742088,1215.122938415709,969.7378902216471,869.2007967419079,860.7475761335223,828.4454507301382,796.2201345689726,69.69921732387758,18.411222636115955,12.373296739452616,28.750122692645668,10.385481685153481,6.315542310816292,6.092028076871965,8.419420360644592
YT,NOX,3749.37563742767,3961.12665437422,4384.2693903768,3192.70644072521,3354.68290717865,3475.88628904375,2635.87690410548,3114.36099070877,2852.47325537304,3025.6622561674085,2747.887601514048,2865.6080285643584,2859.4060018858495,2513.806864458705,2477.085124192633,2468.0850402527626,1761.8023339018712,2342.783779200854,2194.757079634994,2206.767129938222,2497.187028886423,2640.9959938209245,2138.1463991269375,1663.174396728126,820.7921693628763,914.2165573931177,1441.8903605415228,1389.4493939246338,1967.3771605115207,2011.177911731135,1430.604577382032
YT,VOC,2366.57553859133,2463.7973754439,2671.46412624855,2571.8047430247,2427.22609172859,2605.4579888716,2376.19798697289,2143.75830113612,2010.2643699212,2286.2007488976706,1705.9865884907617,1540.1361375523206,1527.6052251026929,1325.6362964152268,1158.4518729439865,1819.8784248040836,1653.046290407526,1548.5582636865497,1499.3713975684254,1535.7755418932813,1533.9748086488028,1383.6487344960656,1299.2190023333676,1262.7315389997189,1094.2686600968395,1017.9272547238718,1057.2790765040606,1032.4368670404988,1050.388436884118,1082.1937412974778,943.5967689518212
QC,NH3,64955.9860256586,63516.8943438131,63299.3127083,63611.113258755,64252.0509216358,66821.0514358338,68489.4994115454,68419.097981244,67651.3905963846,66851.40164053511,66526.3519657713,68454.70920937689,69670.08421241246,66670.56911640572,68643.32992920426,67601.25515038022,64224.07135417954,67293.11595140157,65494.05473255437,63031.75639763256,61848.26541930892,61824.14174730954,63394.10911924062,62257.21200300907,61869.8792071559,63150.4830457563,64595.45124803585,61538.068602033054,66137.22237146636,62828.06001226904,63662.458882374594
QC,CO,2255181.20750204,2215428.31306636,2298285.48908504,2312404.51005917,2282286.2071381,2222953.57629972,2160860.58092404,2077048.84503501,1968631.25143906,1922122.566369085,1904562.0208288133,1779296.9136454277,1764475.774849631,1779960.1024675192,1738461.3288793718,1564427.1870825875,1499335.372293136,1554763.5721833778,1526054.089071009,1446886.2450940323,1397942.14650581,1404147.6573344797,1311652.8355054518,1330045.8938842707,1283932.3793868313,1281066.8039121304,1261235.8623757765,1295457.7500027556,1267079.3878455244,1262748.9517268634,1195876.6866946823
QC,SOX,246885.765175183,221217.150813904,221317.198002324,226551.461811425,226734.063245546,379613.367167781,367929.851783652,356111.918043543,328812.633090391,304824.82342599874,305482.91470711585,275765.3521066364,239890.3010039493,266079.0425738999,260449.26815147116,220495.71123696456,186828.03564118288,167190.08225092207,150797.84375523977,136887.70491376412,138408.36056171815,139795.60398864732,135273.10427144487,119534.71486973562,121219.57081000411,111667.320978137,110634.64918521966,111807.5120737345,96665.26219030753,92153.69684401766,99173.62223845931
QC,NOX,311649.667127366,289613.03717466,297238.187060548,306147.106578487,325616.349610605,329923.783919909,332898.888527481,345143.514116164,345916.616354562,348454.95893081784,337729.05913962267,318050.8697994841,309643.81089369574,324281.2184795011,314169.67046782054,292840.7235636912,268179.2903652213,262139.8989946894,251024.0432560171,232683.58442844378,218904.62191825014,215403.09090043377,201227.04835948173,188256.0566704768,174323.20967282658,169790.06675991177,166775.46336206666,173583.1162206372,173272.6660459863,175924.23218355278,154850.47104666324
QC,VOC,492882.418225595,472392.825775763,484589.355838839,494988.196609472,500847.802386956,498088.027776642,485340.908092912,475360.785720039,450903.583107522,445511.85315800336,430688.5801723114,386597.2042512996,380934.04340053425,371202.56530754355,373831.03663321876,361411.7491879815,332377.35492208565,338995.77007324644,324631.18979526433,307932.06949591095,292687.4162165156,275512.6830341468,263912.9503423869,259743.21686648863,253037.4351048959,238637.49334618478,226103.34062572476,224124.34361083523,233618.2548453813,234461.65430318934,211654.48402008583
SK,NH3,48590.7790951924,47709.029614817,54501.964093083,56397.9166857651,61236.348511747,66075.7836964964,71305.1203470199,75002.5798087229,71204.5231786079,68051.4695020295,71233.99933134673,72399.30858496515,71857.52960054718,79666.24959408662,83829.72945242604,84043.0184468456,80035.94268499562,82477.46445191129,87707.21245672296,82328.19520696744,79919.25958769882,82366.95295672712,92913.60076728361,98330.28841944442,94794.32211836084,97707.5888324575,98164.50089404605,100484.24959760121,102697.63735440078,101232.24785602144,101701.09717219403
SK,CO,522634.282653415,524080.49341476,521731.804297244,525049.276529875,539622.633783978,526100.877577241,529501.9113524,507239.875414579,494523.167764524,496537.5508740696,521390.10755585314,494104.3678235838,483918.6821718534,475420.8607557692,458204.12379152677,406666.2692950118,411187.13102432166,432487.63706366444,413716.3549169435,408300.56842706795,397409.6303541179,328523.13151061203,344420.96065102686,357829.65094288456,330986.7130945523,334471.74752974283,312051.9137879289,315510.0551493471,303197.20344263007,297914.2473161422,278134.9378534839
SK,SOX,102941.057734678,108870.021337533,113684.254806014,121946.531109631,130662.077698764,134968.271850206,134391.307239925,134862.082805191,135952.654970849,130889.52499711823,131109.5237096893,136518.8591181102,148372.39879054023,147605.80367019438,148582.8098587011,148983.95973485278,135826.16484959028,146069.69284932088,128821.9484702454,134951.2206133364,131621.20536503007,126893.95321079777,130218.35423047363,125020.29404482026,125016.71724294651,127889.52912479633,126427.94406138161,124923.19612953253,123894.91956025518,122700.54781818627,106403.94824789607
SK,NOX,149297.990635742,156365.816427142,160623.358046233,170585.807029088,178368.189037892,182281.063548068,181336.559223897,186118.327350553,175424.863996898,175896.28675760215,182819.25756321003,173505.84508188508,177785.00909285876,173636.09652775683,172841.9687395166,172857.77336050698,166610.53149947454,179399.70466691314,174614.44308171005,175476.9001032982,175065.89816043168,160271.13865594676,158782.55636136717,157828.10153094973,153401.1874046604,147006.77238934796,139377.047287074,143062.9198029895,146170.15267162566,144583.9461762432,129511.8784305268
SK,VOC,186864.347508671,188049.558731351,193020.941156593,203188.145613618,219950.417012375,227211.901645597,239284.910435504,248207.76407891,244178.936518681,236617.9816283578,241476.3650611663,239105.88257489091,239626.6430176893,240782.867616596,243646.6210500245,238440.17921530563,232816.04464268233,238033.05630185845,245699.14968534771,238678.62694708267,240204.76352033904,230594.09854491823,243989.73265376233,250898.34995981562,277776.15360479284,289174.52465904533,271196.47303612425,297402.25650182134,288691.1464797793,276055.140254964,213057.76851824767
NL,NH3,1029.0776493363,1013.3474786699,1025.21333718283,1014.07475566679,1010.40703741658,1025.47124881163,1029.55631791277,1049.34313976404,1045.88252226449,1064.3360967834383,1095.308005157589,1122.424872535575,1088.3995364240634,1121.9201065031498,1116.2766029386034,1139.1104282424444,904.6776032474703,934.9875904281411,941.896035468174,932.0593869965276,908.5924530250877,909.8575080411512,900.5129389650402,902.1094715201713,926.4717125367256,906.4986295097933,938.259964516587,914.0409876062595,923.7939728304156,935.516643779568,930.0339937484376
NL,CO,185455.85339463,175977.867165297,175495.780340818,180986.309189542,177569.028239965,169600.153559072,163410.552403578,158971.938682483,152719.913924104,145360.88157072657,140691.91895022467,131487.04513681773,130327.82024772905,118698.66978083203,110431.78577100528,105607.46108678158,101038.88165017066,108612.01072323193,108013.021096368,101127.08727626476,91894.51905832253,85182.51150875546,84313.16084645147,72328.3354750396,79020.55805887049,76871.31048240807,109503.77802955394,81791.60826765123,84396.20982526918,84004.39281666109,84009.58398031251
NL,SOX,68820.8237423237,69891.7713003819,84834.1880551771,102015.779909489,51283.929508207,66936.5425621616,73539.1486857715,75170.1503788735,63461.1789928349,53008.80031175239,54455.62206290315,60090.93886838556,58204.289553806375,54455.23553607224,49405.12020171081,48883.17670609041,44859.81851917979,43822.76448788376,40362.2579950008,28920.23421951018,31687.114580798996,25275.683724374663,28113.291164980725,28431.69476559065,27957.94256571018,19219.360445066704,24587.26580567227,22466.0622872428,18589.12775885592,20690.211060274352,11521.835143597255
NL,NOX,52041.8511237401,48559.8762151526,48010.3120325401,49869.8024619507,49464.5915342602,50083.2625594232,50847.5588821717,53446.4857860154,54663.7462536841,55482.71437275554,56344.56213927707,57338.09528039561,59720.14272523672,62657.03962440597,57056.79966917122,58686.07255748084,53455.549483206945,54989.66637608261,53334.950074692264,47400.67203151977,47254.71649299816,46103.18605766064,41037.461640013535,39067.895278319374,40701.574386026026,39272.421999823346,40377.54483747375,41551.71862543191,40353.207807653314,41859.573454461606,37882.78135900267
NL,VOC,45933.0180313649,45440.4258130683,45773.9266210953,46310.0271435925,45752.083635223,45487.7949901805,44302.8446168665,44145.4477144812,50506.6239131001,53827.294618742475,57310.08236575151,50970.548723778564,65637.88102292884,32614.475412974847,31020.89995327968,31892.35822147514,28626.044374641697,35561.1117902749,34111.70138279476,29493.099047908745,27469.50529510873,23557.63900173516,20739.250401355897,19168.232774048076,18484.347300161546,18007.10314242837,19073.09860994208,21549.40385346929,21469.79463172053,20593.368329911234,19427.865916746152
PE,NH3,3416.79920391971,3366.54721869507,3359.16478401912,3324.91451631307,3384.3542330717,3500.19393766606,3526.71755822344,3518.9476118535,3644.09710259611,3582.731097301343,3476.155798857988,3395.9387649369833,3453.191659086092,3600.4188743548675,3709.513396501229,3734.602407151813,3467.844194731675,3306.742191906817,3068.2805395994224,2760.262404090508,2552.0540300524285,2500.2962101931953,2558.7774246741765,2342.3450169558614,2553.8439817536414,2357.0220552838023,2653.2317483063302,2582.1140867039926,2692.1390421653387,2890.2042042704043,3203.4491502982933
PE,CO,54865.8351885868,52194.0685480893,52456.6198242899,50111.0734702766,50962.3800059063,49883.8397816712,49569.0641451638,49679.4001703999,48142.9210503905,48262.504101207516,46872.90274687031,42474.63995232412,42152.903765586554,38079.09840960889,40220.34961115803,37765.115353212765,36807.328776917275,38472.49349130616,32911.791378773676,30785.89202185001,26999.77875008197,26286.1374500837,23586.79229129871,20177.20845561633,18399.75224441657,16783.15187733601,18865.77602648361,21390.423187010885,20655.81457330117,21067.999975968654,20300.249504668816
PE,SOX,3422.95354821019,3452.20949587008,3116.65213463588,3126.96421575931,3120.40847058259,2278.90112138091,3107.51216555965,3246.87028109021,3107.99083173825,2701.1174254369644,2174.0950747880406,2091.9216202784564,2125.359130683079,2487.552866855326,3681.071988881565,2349.72700503579,2207.5145420288977,1745.7183292323816,2123.3254259892874,1820.6910324897613,1478.7862302343465,1722.5101748350894,1016.3527935267932,850.0452328033539,692.8057583949477,299.8085204698519,282.66682177374105,322.4608218025625,314.5218496758175,320.0485112346038,270.90450446877423
PE,NOX,6715.25744306719,6623.13257000985,6335.02586096481,6435.14439302231,6958.9173038114,7024.50600923459,7377.44056025994,7841.30408887859,8269.68846170969,8644.88221507711,8752.208297907722,8210.43773697808,7785.170208508381,7422.541951179388,7542.337785966773,6874.550380876918,6142.776766744547,5921.656395786297,5147.722823657579,5419.177703948296,5126.194625062763,5586.996182652825,4893.479083291487,4244.005242671969,4112.743641726347,4045.9379067417717,3966.987301879808,4061.845976818248,4163.778412021345,4182.269508062997,3301.916250755691
