,Province,Pollutant,Year,Value,Per Capita,By Capita,Death,Death per Capita
0,AB,NH3,2000,139957.7765580304,2996031.75,0.04671438363696593,17745,0.005922834429241279
1,AB,CO,2000,1677587.6715244297,2996031.75,0.5599365465751255,17745,0.005922834429241279
2,AB,SOX,2000,490794.8877013029,2996031.75,0.16381498216809715,17745,0.005922834429241279
3,AB,NOX,2000,801836.5083859899,2996031.75,0.2676328474776644,17745,0.005922834429241279
4,AB,VOC,2000,630612.1689597053,2996031.75,0.21048247200975265,17745,0.005922834429241279
5,BC,NH3,2000,24071.02620397197,4037127.5,0.005962414167987503,17745,0.004395451964298873
6,BC,CO,2000,1716903.250311155,4037127.5,0.42527843133791415,17745,0.004395451964298873
7,BC,SOX,2000,80071.81692122918,4037127.5,0.019833858831862304,17745,0.004395451964298873
8,BC,NOX,2000,317658.47361329314,4037127.5,0.07868428074498345,17745,0.004395451964298873
9,BC,VOC,2000,314185.0157942773,4037127.5,0.07782390221618646,17745,0.004395451964298873
10,ON,NH3,2000,106399.51136028446,11657471.75,0.009127151550702619,17745,0.0015221996999478038
11,ON,CO,2000,3104570.9031099486,11657471.75,0.2663159705370891,17745,0.0015221996999478038
12,ON,SOX,2000,587488.2261068523,11657471.75,0.05039585243745946,17745,0.0015221996999478038
13,ON,NOX,2000,741406.0288508333,11657471.75,0.06359921299837877,17745,0.0015221996999478038
14,ON,VOC,2000,763149.1799363827,11657471.75,0.06546438166889683,17745,0.0015221996999478038
15,MB,NH3,2000,51708.00024614059,1146449.25,0.045102738081202104,17745,0.015478225486213193
16,MB,CO,2000,323479.9767479759,1146449.25,0.282158130198939,17745,0.015478225486213193
17,MB,SOX,2000,361692.8607592112,1146449.25,0.3154896396497369,17745,0.015478225486213193
18,MB,NOX,2000,75624.71754262713,1146449.25,0.06596429588368358,17745,0.015478225486213193
19,MB,VOC,2000,85976.64669199311,1146449.25,0.07499385314438743,17745,0.015478225486213193
20,NB,NH3,2000,5241.0236525657165,750524.5,0.006983147988594265,17745,0.02364346533657462
21,NB,CO,2000,267766.6874282315,750524.5,0.3567727468300256,17745,0.02364346533657462
22,NB,SOX,2000,122928.6432707288,750524.5,0.16379031366827973,17745,0.02364346533657462
23,NB,NOX,2000,88730.86081734189,750524.5,0.11822513564492816,17745,0.02364346533657462
24,NB,VOC,2000,68370.50187668271,750524.5,0.09109696202679954,17745,0.02364346533657462
25,NS,NH3,2000,4672.310838895568,934291.25,0.005000914692175023,17745,0.0189930067310381
26,NS,CO,2000,267689.380213475,934291.25,0.286515987614649,17745,0.0189930067310381
27,NS,SOX,2000,190312.9682252085,934291.25,0.20369768872951394,17745,0.0189930067310381
28,NS,NOX,2000,94813.0702866262,934291.25,0.10148127822734741,17745,0.0189930067310381
29,NS,VOC,2000,62482.01297177484,934291.25,0.06687637604630767,17745,0.0189930067310381
30,QC,NH3,2000,66526.3519657713,7353292.75,0.009047151286853268,17745,0.0024132046150345367
31,QC,CO,2000,1904562.0208288133,7353292.75,0.25900805062178617,17745,0.0024132046150345367
32,QC,SOX,2000,305482.91470711585,7353292.75,0.04154369003017265,17745,0.0024132046150345367
33,QC,NOX,2000,337729.05913962267,7353292.75,0.04592895599588669,17745,0.0024132046150345367
34,QC,VOC,2000,430688.5801723114,7353292.75,0.058570846396984726,17745,0.0024132046150345367
35,SK,NH3,2000,71233.99933134673,1008477.5,0.07063518951225657,17745,0.017595831339816705
36,SK,CO,2000,521390.10755585314,1008477.5,0.517007179194234,17745,0.017595831339816705
37,SK,SOX,2000,131109.5237096893,1008477.5,0.13000738609407675,17745,0.017595831339816705
38,SK,NOX,2000,182819.25756321003,1008477.5,0.18128243571444086,17745,0.017595831339816705
39,SK,VOC,2000,241476.3650611663,1008477.5,0.2394464577158799,17745,0.017595831339816705
40,NL,NH3,2000,1095.308005157589,529011.5,0.002070480519152398,17745,0.03354369422970956
41,NL,CO,2000,140691.91895022467,529011.5,0.2659524773095191,17745,0.03354369422970956
42,NL,SOX,2000,54455.62206290315,529011.5,0.10293844663661027,17745,0.03354369422970956
43,NL,NOX,2000,56344.56213927707,529011.5,0.10650914420438322,17745,0.03354369422970956
44,NL,VOC,2000,57310.08236575151,529011.5,0.10833428453965842,17745,0.03354369422970956
45,PE,NH3,2000,3476.155798857988,136400.25,0.02548496647812587,17745,0.13009506947384628
46,PE,CO,2000,46872.90274687031,136400.25,0.3436423521721574,17745,0.13009506947384628
47,PE,SOX,2000,2174.0950747880406,136400.25,0.015939084237661154,17745,0.13009506947384628
48,PE,NOX,2000,8752.208297907722,136400.25,0.06416563237902953,17745,0.13009506947384628
49,PE,VOC,2000,9327.848298611856,136400.25,0.06838585925327743,17745,0.13009506947384628
50,AB,NH3,2001,139163.63039002882,3051405.75,0.04560639973560672,17585,0.0057629176323076665
51,AB,CO,2001,1576101.4273097124,3051405.75,0.5165165030280593,17585,0.0057629176323076665
52,AB,SOX,2001,486094.7241083352,3051405.75,0.159301896874362,17585,0.0057629176323076665
53,AB,NOX,2001,769751.1708425825,3051405.75,0.2522611654784299,17585,0.0057629176323076665
54,AB,VOC,2001,601978.6682344684,3051405.75,0.19727912888493063,17585,0.0057629176323076665
55,BC,NH3,2001,24469.07246323144,4070989.75,0.0060105954487435,17585,0.004319588375283922
56,BC,CO,2001,1606424.987127944,4070989.75,0.39460305374827925,17585,0.004319588375283922
57,BC,SOX,2001,79950.09033425781,4070989.75,0.019638980995778193,17585,0.004319588375283922
58,BC,NOX,2001,301845.25182200875,4070989.75,0.07414542171765692,17585,0.004319588375283922
59,BC,VOC,2001,298500.236541528,4070989.75,0.07332375045688289,17585,0.004319588375283922
60,ON,NH3,2001,104775.371852801,11864653.25,0.008830883604019443,17585,0.0014821334959789069
61,ON,CO,2001,2742620.8581315875,11864653.25,0.2311589559628797,17585,0.0014821334959789069
62,ON,SOX,2001,589770.5238487036,11864653.25,0.049708197232709146,17585,0.0014821334959789069
63,ON,NOX,2001,688142.3286549269,11864653.25,0.05799936282629472,17585,0.0014821334959789069
64,ON,VOC,2001,653417.9671848541,11864653.25,0.05507265601587253,17585,0.0014821334959789069
65,MB,NH3,2001,51392.41794504378,1150436.0,0.04467212252141256,17585,0.015285509146097654
66,MB,CO,2001,289213.7669740087,1150436.0,0.2513949206857302,17585,0.015285509146097654
67,MB,SOX,2001,371076.4115275999,1150436.0,0.32255285085619706,17585,0.015285509146097654
68,MB,NOX,2001,72686.49597803115,1150436.0,0.06318169457321497,17585,0.015285509146097654
69,MB,VOC,2001,78751.90239585208,1150436.0,0.06845396214639675,17585,0.015285509146097654
70,NB,NH3,2001,5290.999653627558,749654.75,0.007057915198466437,17585,0.023457464919684694
71,NB,CO,2001,249136.1052796312,749654.75,0.3323344583351619,17585,0.023457464919684694
72,NB,SOX,2001,118678.52649512715,749654.75,0.1583109111162534,17585,0.023457464919684694
73,NB,NOX,2001,84921.88219047479,749654.75,0.11328132342318219,17585,0.023457464919684694
74,NB,VOC,2001,60076.5260426364,749654.75,0.0801389253421477,17585,0.023457464919684694
75,NS,NH3,2001,4549.786295968746,933050.5,0.004876248708905623,17585,0.018846782676821886
76,NS,CO,2001,237884.8925282565,933050.5,0.2549539307124925,17585,0.018846782676821886
77,NS,SOX,2001,184152.1414867565,933050.5,0.19736567472688402,17585,0.018846782676821886
78,NS,NOX,2001,94832.23116985144,933050.5,0.10163676153632782,17585,0.018846782676821886
79,NS,VOC,2001,54534.68836295126,933050.5,0.058447734997142446,17585,0.018846782676821886
80,QC,NH3,2001,68454.70920937689,7391445.5,0.009261342616863899,17585,0.00237910162497985
81,QC,CO,2001,1779296.9136454277,7391445.5,0.24072380884705538,17585,0.00237910162497985
82,QC,SOX,2001,275765.3521066364,7391445.5,0.03730871750412506,17585,0.00237910162497985
83,QC,NOX,2001,318050.8697994841,7391445.5,0.0430295900577883,17585,0.00237910162497985
84,QC,VOC,2001,386597.2042512996,7391445.5,0.05230332879425271,17585,0.00237910162497985
85,SK,NH3,2001,72399.30858496515,1001131.5,0.07231748135481218,17585,0.017565125060993485
86,SK,CO,2001,494104.3678235838,1001131.5,0.49354592061440855,17585,0.017565125060993485
87,SK,SOX,2001,136518.8591181102,1001131.5,0.13636456261551075,17585,0.017565125060993485
88,SK,NOX,2001,173505.84508188508,1001131.5,0.17330974510529845,17585,0.017565125060993485
89,SK,VOC,2001,239105.8825748909,1001131.5,0.23883564004817637,17585,0.017565125060993485
90,NL,NH3,2001,1122.424872535575,523040.25,0.0021459627103948024,17585,0.03362073951287688
91,NL,CO,2001,131487.04513681773,523040.25,0.2513899171943607,17585,0.03362073951287688
92,NL,SOX,2001,60090.93886838556,523040.25,0.1148877908887233,17585,0.03362073951287688
93,NL,NOX,2001,57338.09528039561,523040.25,0.10962463267481921,17585,0.03362073951287688
94,NL,VOC,2001,50970.54872377856,523040.25,0.09745052837478292,17585,0.03362073951287688
95,PE,NH3,2001,3395.9387649369837,136604.25,0.02485968602687679,17585,0.1287295234225875
96,PE,CO,2001,42474.63995232412,136604.25,0.3109320533755291,17585,0.1287295234225875
97,PE,SOX,2001,2091.9216202784564,136604.25,0.015313737458962341,17585,0.1287295234225875
98,PE,NOX,2001,8210.43773697808,136604.25,0.0601038235412008,17585,0.1287295234225875
99,PE,VOC,2001,8219.983582749353,136604.25,0.06017370310769506,17585,0.1287295234225875
100,AB,NH3,2002,139037.73831332734,3118455.5,0.04458544889074971,17761,0.00569544763425356
101,AB,CO,2002,1474691.5433326764,3118455.5,0.4728916424597614,17761,0.00569544763425356
102,AB,SOX,2002,467389.4774019199,3118455.5,0.14987851434850358,17761,0.00569544763425356
103,AB,NOX,2002,739044.5836218625,3118455.5,0.2369905819152662,17761,0.00569544763425356
104,AB,VOC,2002,584834.3157174744,3118455.5,0.18753973424263212,17761,0.00569544763425356
105,BC,NH3,2002,23106.8223825014,4097597.75,0.005639114376832475,17761,0.00433449086113931
106,BC,CO,2002,1516065.8700079492,4097597.75,0.36998894535412835,17761,0.00433449086113931
107,BC,SOX,2002,67490.22609686853,4097597.75,0.01647068116846475,17761,0.00433449086113931
108,BC,NOX,2002,311921.3234300143,4097597.75,0.07612297313224908,17761,0.00433449086113931
109,BC,VOC,2002,293137.8668532275,4097597.75,0.07153895641738564,17761,0.00433449086113931
110,ON,NH3,2002,111576.55992892515,12062749.0,0.00924967931678966,17761,0.0014723841141020177
111,ON,CO,2002,2628007.797295253,12062749.0,0.21786143418015685,17761,0.0014723841141020177
112,ON,SOX,2002,598918.3693935213,12062749.0,0.04965023887950593,17761,0.0014723841141020177
113,ON,NOX,2002,657254.9588559697,12062749.0,0.05448633299556923,17761,0.0014723841141020177
114,ON,VOC,2002,636176.5831072411,12062749.0,0.052738938952243894,17761,0.0014723841141020177
115,MB,NH3,2002,53829.164945019744,1155388.0,0.04658968670699345,17761,0.015372325140991598
116,MB,CO,2002,299529.34187779087,1155388.0,0.25924567494018536,17761,0.015372325140991598
117,MB,SOX,2002,380861.5214438,1155388.0,0.32963949897679395,17761,0.015372325140991598
118,MB,NOX,2002,71476.83072556187,1155388.0,0.061863919934742155,17761,0.015372325140991598
119,MB,VOC,2002,78680.9432018662,1155388.0,0.0680991521479072,17761,0.015372325140991598
120,NB,NH3,2002,5337.07445172883,749048.5,0.007125138694929408,17761,0.02371141521543665
121,NB,CO,2002,262544.43721087376,749048.5,0.350503922257202,17761,0.02371141521543665
122,NB,SOX,2002,120092.67482876928,749048.5,0.16032696791832474,17761,0.02371141521543665
123,NB,NOX,2002,83501.0712269914,749048.5,0.11147618775952611,17761,0.02371141521543665
124,NB,VOC,2002,62410.7412636715,749048.5,0.0833200270258488,17761,0.02371141521543665
125,NS,NH3,2002,4522.00478569874,934774.25,0.00483753674825632,17761,0.019000309432999466
126,NS,CO,2002,229356.4712578136,934774.25,0.2453602795089976,17761,0.019000309432999466
127,NS,SOX,2002,177321.4692197094,934774.25,0.18969443073523837,17761,0.019000309432999466
128,NS,NOX,2002,95840.02710484718,934774.25,0.102527457410008,17761,0.019000309432999466
129,NS,VOC,2002,51815.31837166934,934774.25,0.055430836238449376,17761,0.019000309432999466
130,QC,NH3,2002,69670.08421241246,7435861.5,0.009369470398609827,17761,0.0023885598191951264
131,QC,CO,2002,1764475.774849631,7435861.5,0.23729271649957856,17761,0.0023885598191951264
132,QC,SOX,2002,239890.3010039493,7435861.5,0.032261265356266965,17761,0.0023885598191951264
133,QC,NOX,2002,309643.81089369574,7435861.5,0.04164195512432497,17761,0.0023885598191951264
134,QC,VOC,2002,380934.0434005343,7435861.5,0.05122930858792008,17761,0.0023885598191951264
