Feature,Coef
featured,3.560679489022289
said,3.20623455478478
com,2.194433490716024
according,1.702870815393381
getty,1.5907109840712916
images,1.4458112301498869
nbsp,1.1084076169238375
added,1.1044327009313946
wfb,1.0316937471546215
posted,0.9883720124813442
