News Type,Positive,Negative,Compound,Neutral,Subjectivity
Fake News,0.13688085294117544,0.16500588235294106,-0.14681783529411765,0.6979636470588234,0.4073639062994766
True News,0.13687750000000087,0.1307624411764707,0.0653036382352937,0.7323317647058819,0.37355934565851745
